Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"pcb","pcb",1,0.00,"https://robu.in/product/online-pcb-manufacturing-service/","robu"
"nice nano","mcu",1,9.00,"https://robu.in/product/promicro-nrf52840-development-board/","robu"
"shipping misc","its shipping",1,5.00,"https:/robu.in","NA"
"oled","oled",1,3.00,"https://robu.in/product/0-91-inch-128x32-i2c-iic-serial-oled-lcd-display-modulewith-gnd-vcc-white/","robu"
"flux","flux",1,1.70,"https://probots.co.in/tmyloku-nc-559-asm-soldering-flux-paste-10cc-syringe.html","probot"
"Rotary Encoder EC11","spiny thingy ",1,1.00,"https://probots.co.in/20-position-360-degree-rotary-encoder-ec11-w-push-button.html","probots"
"solder","soldering",2,5.52,"https://robu.in/product/solder-wire-0-5mm-50g-b-type-35-tin-content/","robu"
"PTA2043-2015CPB103","slider",1,1.00,"https://robu.in/product/pta2043-2015cpb103-slide-potentiometers/","robu"
"diode","..its a diode",200,3.00,"https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/","robu"
"switches ","switches",1,4.00,"https://stackskb.com/store/hmx-canglan-v3-pack-of-10/","stackskb"